event_id,participant_id,service_date,minutes,mode
E001,p001,2026-01-20,45,In Person
E002,P001,02/10/2026,60,virtual
E003,P002,2026-01-22,30,Phone
E003,P002,2026-01-22,30,Phone
E004,p003,02/10/2026,50,in-person
E005,P003,2026-03-01,55,Virtual
E006,P004,2026-02-10,40,Phone
E007,P005,2026-02-12,35,Virtual
E008,P006,2026-02-14,45,In Person
E009,P007,2026-02-01,40,Phone
E010,P007,2026-02-16,0,Virtual
E011,P008,2026-02-20,600,In Person
E012,p008,03/05/2026,75,virtual
E013,P009,2026-02-20,45,Phone
E014,P010,02/25/2026,50,in person
E015,P011,2026-02-20,35,Virtual
E016,P012,2026-03-01,40,Phone
E017,P999,2026-02-22,30,Virtual
E018,P009,2026-03-15,45,Virtual
